species,section,n_samples,mean_density,sd_density,mean_moisture_fresh,sd_moisture_fresh,mean_moisture_dry,sd_moisture_dry
ACRU,Inner (Heartwood),15,0.492,0.082,42.1,8.9,77.4,33.2
ACRU,Middle,11,0.502,0.07,37.2,24.3,114.4,202
ACRU,Outer (Sapwood),16,0.528,0.047,36.4,3.3,57.6,8.8
ACSA,Inner (Heartwood),15,0.609,0.028,33.8,5,51.8,10.1
ACSA,Middle,15,1.021,1.517,30,6.9,44,11.5
ACSA,Outer (Sapwood),14,0.609,0.026,31.6,2.1,46.4,4.3
BEAL,Inner (Heartwood),11,0.529,0.052,44.1,5.5,80.5,17.4
BEAL,Middle,6,0.955,1.018,47.6,12.3,104.5,70.9
BEAL,Outer (Sapwood),13,0.545,0.033,39,4.3,64.7,11.8
BELE,Inner (Heartwood),18,0.531,0.041,42.4,5,74.8,15.4
BELE,Middle,16,0.557,0.041,40.4,14.5,136.8,311.2
BELE,Outer (Sapwood),18,0.567,0.028,35,2.9,54.1,6.6
BEPA,Inner (Heartwood),6,0.461,0.069,50.2,4.2,102,18.1
BEPA,Middle,5,0.497,0.061,45.9,4.2,85.9,15.5
BEPA,Outer (Sapwood),6,0.532,0.026,38,4.7,62.2,13.6
CAOV,Inner (Heartwood),1,0.619,NA,38.2,NA,61.7,NA
CAOV,Middle,1,0.662,NA,36.1,NA,56.5,NA
CAOV,Outer (Sapwood),1,0.681,NA,35.9,NA,56,NA
FAGR,Inner (Heartwood),14,0.57,0.041,39.2,3.7,65.2,10.7
FAGR,Middle,13,0.568,0.043,38.9,2.2,63.8,6
FAGR,Outer (Sapwood),14,0.582,0.046,43.6,13.6,121.9,203.5
FRAM,Inner (Heartwood),12,0.9,1.055,36.1,5.8,57.7,15
FRAM,Middle,10,0.761,0.901,14.1,103.5,244.1,470.9
FRAM,Outer (Sapwood),14,0.548,0.043,25.8,27.3,43.2,24.7
KALA,Outer (Sapwood),2,0.586,0.04,43.1,0.9,75.6,2.9
PIST,Inner (Heartwood),17,0.333,0.099,59.9,16.4,180.4,85.9
PIST,Middle,12,0.366,0.041,60,5.7,155.3,41.5
PIST,Outer (Sapwood),17,0.372,0.036,56.2,4.9,131.6,29.4
PRSE,Inner (Heartwood),2,0.558,0.047,41.5,2.1,71.1,6.3
PRSE,Outer (Sapwood),3,0.514,0.032,42.4,0.6,73.6,1.8
QUAL,Inner (Heartwood),1,0.647,NA,46.6,NA,87.3,NA
QUAL,Middle,1,0.642,NA,46.2,NA,85.9,NA
QUAL,Outer (Sapwood),1,0.932,NA,5.9,NA,6.2,NA
QURU,Inner (Heartwood),14,0.576,0.042,49.3,2.9,98,13.2
QURU,Middle,14,0.567,0.034,49.5,2.3,98.3,9.5
QURU,Outer (Sapwood),15,0.521,0.044,49.9,2.4,99.9,9.4
QUVE,Inner (Heartwood),1,0.58,NA,49.1,NA,96.3,NA
QUVE,Middle,1,0.568,NA,49.2,NA,96.7,NA
QUVE,Outer (Sapwood),1,0.549,NA,50.8,NA,103.4,NA
SAAL,Inner (Heartwood),1,0.391,NA,57.3,NA,134.1,NA
SAAL,Middle,1,0.372,NA,54.4,NA,119.5,NA
SAAL,Outer (Sapwood),1,0.325,NA,46.6,NA,87.2,NA
TSCA,Inner (Heartwood),16,0.354,0.075,60.3,12.1,197.9,177.4
TSCA,Middle,12,0.365,0.047,54.2,10.2,129.2,53
TSCA,Outer (Sapwood),16,0.375,0.054,53,7,117.7,34.8
